,Unnamed: 0,Unnamed: 0.1,Title,Year,IMDB Rating,Age Restriction,Genre,Language,Runtime,Country,Type,Release Date,OTT Release Date,OTT,OTT Year
0,0,0,Lets Fight Ghost,2008,7.9,R,"Crime, Drama, Fantasy, Horror, Romance","Swedish, Spanish",30,Thailand,Series,12-12-2008,2021-04-03,Netflix,2021
1,1,1,HOW TO BUILD A GIRL,2020,5.8,R,Comedy,English,120,Canada,Movie,08-05-2020,2021-04-03,Netflix,2021
2,2,2,Centigrade,2020,4.3,Unrated,"Drama, Thriller",English,120,Canada,Movie,28-08-2020,2021-04-03,Netflix,2021
3,3,3,ANNE+,2016,6.5,Not Rated,Drama,Turkish,30,"Belgium,Netherlands",Series,01-10-2016,2021-04-03,Netflix,2021
4,4,4,Moxie,2011,6.3,Not Rated,"Animation, Short, Drama",English,120,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",Movie,22-09-2011,2021-04-03,Netflix,2021
5,5,5,The Con-Heartist,2020,7.4,Not Rated,"Comedy, Romance",Thai,180,Thailand,Movie,03-12-2020,2021-03-03,Netflix,2021
6,6,6,Gleboka woda,2011,7.5,Not Rated,Drama,Polish,30,Poland,Series,14-06-2011,2021-03-03,Netflix,2021
7,7,7,Instynkt,2011,3.9,Not Rated,Crime,Polish,30,Poland,Series,03-03-2011,2021-03-03,Netflix,2021
8,8,8,Only a Mother,1949,6.7,Not Rated,Drama,Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",Movie,31-10-1949,2021-03-03,Netflix,2021
9,9,9,Snowroller,1985,6.6,Not Rated,Comedy,"Swedish, English, German, Norwegian",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,04-10-1985,2021-03-03,Netflix,2021
10,10,10,Sunes Summer,2018,5.5,Not Rated,"Comedy, Family, Fantasy",Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,30-11-2018,2021-03-03,Netflix,2021
11,11,11,The Invisible,2007,6.2,PG-13,"Crime, Drama, Fantasy, Mystery, Thriller",English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",Movie,27-04-2007,2021-03-03,Netflix,2021
12,12,12,The Simple Minded Murderer,1985,7.6,Not Rated,Drama,"Scanian, Swedish",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,01-09-1985,2021-03-03,Netflix,2021
13,13,13,The Stig-Helmer Story,2011,4.5,Not Rated,"Comedy, Drama","Swedish, English",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,25-12-2011,2021-03-03,Netflix,2021
14,14,14,To Kill a Child,2011,7.7,Not Rated,"Short, Drama",Spanish,30,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,07-02-2011,2021-03-03,Netflix,2021
15,15,15,Joker,2019,8.4,R,"Crime, Drama, Thriller",English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",Movie,04-10-2019,2021-03-03,Netflix,2021
16,16,16,I,1999,6.5,PG,"Action, Adventure, Fantasy, Sci-Fi","English, Sanskrit",120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",Movie,19-05-1999,2021-03-03,Netflix,2021
17,17,17,Harrys Daughters,2011,8.1,PG-13,"Adventure, Drama, Fantasy, Mystery",English,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,15-07-2011,2021-03-03,Netflix,2021
18,18,18,Gyllene Tider,1677,7.7,Not Rated,Music,Swedish,60,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,1677-09-23,2021-03-03,Netflix,2021
19,19,19,False As Water,1985,6.3,Not Rated,"Drama, Thriller",Swedish,120,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",Movie,08-11-1985,2021-03-03,Netflix,2021
